geometry,name,longitude,latitude,amenity_type
POINT (-0.1848418 51.3797984),Queen Mary's Childrens' Hospital,-0.1848418,51.3797984,hospital
POINT (-0.1715368 51.4020487),Chapel Orchard Day Surgery,-0.1715368,51.4020487,hospital
POINT (-0.3074425 51.6312434),UCL Institute of Orthopaedics and Musculoskeletal Science,-0.3074425,51.6312434,hospital
POINT (-0.1435858 51.5224709),The Portland Hospital for Women and Children,-0.1435858,51.5224709,hospital
POINT (-0.0925094 51.6249907),North London Hospice Winchmore Hill,-0.0925094,51.6249907,hospital
POINT (-0.1123103 51.3911811),Sexual Health Clinic,-0.1123103,51.3911811,hospital
POINT (-0.1115896 51.3895435),Macmillan Cancer Support Centres,-0.1115896,51.3895435,hospital
POINT (-0.1111571 51.3892531),Main Reception,-0.1111571,51.3892531,hospital
POINT (-0.108499 51.388644),Patient Advice and Liaison Service (PALS),-0.108499,51.388644,hospital
POINT (-0.1110591 51.3912926),Maternity Reception,-0.1110591,51.3912926,hospital
POINT (-0.1102788 51.3911477),Fertility Treatment,-0.1102788,51.3911477,hospital
POINT (-0.1093613 51.3905149),Gynaecology Department,-0.1093613,51.3905149,hospital
POINT (-0.1110648 51.3909333),Women's Health Unit,-0.1110648,51.3909333,hospital
POINT (-0.11113 51.3887004),Croydon Heart Centre,-0.11113,51.3887004,hospital
POINT (-0.1097438 51.3902698),Dental Department,-0.1097438,51.3902698,hospital
POINT (-0.1099614 51.3904846),Dermatology Department,-0.1099614,51.3904846,hospital
POINT (-0.108209 51.3886983),Diabetic Department,-0.108209,51.3886983,hospital
POINT (-0.1088304 51.3888297),MRI,-0.1088304,51.3888297,hospital
POINT (-0.1087926 51.3891088),Main X-Ray,-0.1087926,51.3891088,hospital
POINT (-0.1103441 51.3891619),Vascular Ultrasound,-0.1103441,51.3891619,hospital
POINT (-0.1102589 51.3890953),Wound Clinic,-0.1102589,51.3890953,hospital
POINT (-0.1099839 51.3893068),Moorfields Eye Unit,-0.1099839,51.3893068,hospital
POINT (-0.1097382 51.389144),The Willows (Children's Clinic),-0.1097382,51.389144,hospital
POINT (-0.1107072 51.3898664),Day Surgery Unit (DSU),-0.1107072,51.3898664,hospital
POINT (-0.1092569 51.3887022),Emergency Department,-0.1092569,51.3887022,hospital
POINT (-0.0927953 51.4687588),King's College Hospital Emergency Department,-0.0927953,51.4687588,hospital
POINT (-0.1404908 51.5238351),Elite Social Care Ltd,-0.1404908,51.5238351,hospital
POINT (-0.0927114 51.4691229),Dental Hospital,-0.0927114,51.4691229,hospital
POINT (-0.1213221 51.5216322),Great Ormond Street Outpatients - Zebra and Hippo Clinic Areas,-0.1213221,51.5216322,hospital
POINT (-0.3772728 51.4694387),Hounslow Medical Centre,-0.3772728,51.4694387,hospital
POINT (-0.1935029 51.6020306),Central Restaurant,-0.1935029,51.6020306,restaurant
POINT (-0.1722345 51.3980144),Casuarina Tree,-0.1722345,51.3980144,restaurant
POINT (-0.4816991 51.5271668),Karma Lounge,-0.4816991,51.5271668,restaurant
POINT (-0.4585479 51.525732),Jin Li,-0.4585479,51.525732,restaurant
POINT (-0.1325596 51.5110542),Old Tree Daiwan Bee,-0.1325596,51.5110542,restaurant
POINT (-0.063099 51.6499158),The Meeting Bar and Restaurant,-0.063099,51.6499158,restaurant
POINT (-0.3431793 51.5752552),,-0.3431793,51.5752552,restaurant
POINT (-0.3284018 51.472105),Cinnamon Lounge,-0.3284018,51.472105,restaurant
POINT (-0.1508364 51.3719881),The Grange,-0.1508364,51.3719881,restaurant
POINT (-0.3266794 51.4983082),The Royal,-0.3266794,51.4983082,restaurant
POINT (0.2346712 51.5939208),Bombay Palace,0.2346712,51.5939208,restaurant
POINT (-0.1257455 51.5229924),Farmer J,-0.1257455,51.5229924,restaurant
POINT (-0.0487489 51.4256431),Tratorria Raffaele,-0.0487489,51.4256431,restaurant
POINT (-0.0560633 51.5340961),Bistrotheque,-0.0560633,51.5340961,restaurant
POINT (-0.0656989 51.517788),Mithai Ghar,-0.0656989,51.517788,restaurant
POINT (-0.1312087 51.47539),A toca,-0.1312087,51.47539,restaurant
POINT (-0.1445726 51.4872464),Pimilco Spice,-0.1445726,51.4872464,restaurant
POINT (-0.1777821 51.4177496),Venus,-0.1777821,51.4177496,restaurant
POINT (-0.1782663 51.4182745),Corleone,-0.1782663,51.4182745,restaurant
POINT (-0.1780875 51.4136144),Nando's,-0.1780875,51.4136144,restaurant
POINT (-0.1291139 51.4651993),Alba,-0.1291139,51.4651993,restaurant
POINT (-0.1239279 51.4629835),Ferndales,-0.1239279,51.4629835,restaurant
POINT (-0.1378188 51.4992102),Bon Gusto,-0.1378188,51.4992102,restaurant
POINT (-0.1372558 51.4986304),Bank Restaurant & Bar,-0.1372558,51.4986304,restaurant
POINT (-0.1214512 51.5186204),Spaghetti House,-0.1214512,51.5186204,restaurant
POINT (-0.1667732 51.4427534),PizzaExpress,-0.1667732,51.4427534,restaurant
POINT (-0.105547 51.5896604),Le Chamarel,-0.105547,51.5896604,restaurant
POINT (-0.4275002 51.4622646),The Duke of Wellington,-0.4275002,51.4622646,restaurant
POINT (-0.0796137 51.6783282),Whitewebbs House,-0.0796137,51.6783282,restaurant
POINT (-0.1165376 51.505166),Ping Pong,-0.1165376,51.505166,restaurant
POINT (-0.1176917 51.5055251),Las Iguanas,-0.1176917,51.5055251,restaurant
POINT (-0.1451088 51.3582971),Hotrocks,-0.1451088,51.3582971,restaurant
POINT (-0.0789765 51.5366022),Waterhouse,-0.0789765,51.5366022,restaurant
POINT (-0.1407101 51.4631647),No. 32 The Old Town,-0.1407101,51.4631647,restaurant
POINT (-0.3110722 51.6178616),Nando's,-0.3110722,51.6178616,restaurant
POINT (-0.0872645 51.6595558),Chaseside,-0.0872645,51.6595558,restaurant
POINT (-0.0879064 51.6594016),Zaza,-0.0879064,51.6594016,restaurant
POINT (-0.0394594 51.5101159),La Figa,-0.0394594,51.5101159,restaurant
POINT (-0.0387865 51.5100931),Holy Cow,-0.0387865,51.5100931,restaurant
POINT (-0.1374885 51.4884009),Goya,-0.1374885,51.4884009,restaurant
POINT (-0.1414857 51.5127342),Sketch,-0.1414857,51.5127342,restaurant
POINT (-0.0509194 51.52821),The Full Monty,-0.0509194,51.52821,restaurant
POINT (-0.12483 51.4808939),Tia Maria Bar & Kitchen,-0.12483,51.4808939,restaurant
POINT (-0.0596251 51.5032228),Il Pirata London,-0.0596251,51.5032228,restaurant
POINT (-0.1170999 51.5062917),Giraffe,-0.1170999,51.5062917,restaurant
POINT (-0.137108 51.4888419),PizzaExpress,-0.137108,51.4888419,restaurant
POINT (0.0270735 51.5767346),Luppolo,0.0270735,51.5767346,restaurant
POINT (-0.054029 51.505619),River View Restaurant,-0.054029,51.505619,restaurant
POINT (-0.1187798 51.5178558),PizzaExpress,-0.1187798,51.5178558,restaurant
POINT (-0.0446566 51.5222995),Verdi's,-0.0446566,51.5222995,restaurant
POINT (-0.0828862 51.5271512),Jabinjia Hotpot,-0.0828862,51.5271512,restaurant
POINT (-0.1115445 51.4872825),PizzaExpress,-0.1115445,51.4872825,restaurant
POINT (-0.2862229 51.5096682),Ta Ke,-0.2862229,51.5096682,restaurant
POINT (-0.2879784 51.5101708),Nando's,-0.2879784,51.5101708,restaurant
POINT (-0.1570131 51.5416421),Lemonia,-0.1570131,51.5416421,restaurant
POINT (-0.1419336 51.4957287),Il Posto,-0.1419336,51.4957287,restaurant
POINT (-0.0068108 51.4955582),Memsaheb,-0.0068108,51.4955582,restaurant
POINT (-0.1393146 51.5109108),Aubaine,-0.1393146,51.5109108,restaurant
POINT (-0.1667879 51.5717552),The Brew House,-0.1667879,51.5717552,restaurant
POINT (0.0021123 51.5406572),Wraps and Wings,0.0021123,51.5406572,restaurant
POINT (-0.026204 51.4997405),Clifton Restaurant,-0.026204,51.4997405,restaurant
POINT (-0.1422056 51.5131214),Goodman,-0.1422056,51.5131214,restaurant
POINT (-0.1423314 51.513393),Mary's,-0.1423314,51.513393,restaurant
POINT (-0.140075 51.4920195),Uno,-0.140075,51.4920195,restaurant
POINT (-0.0136551 51.4861623),Kinkao Thai Restaurant,-0.0136551,51.4861623,restaurant
POINT (-0.175384 51.6306596),Maya Lounge,-0.175384,51.6306596,restaurant
POINT (-0.11448 51.4614013),Satay Bar,-0.11448,51.4614013,restaurant
POINT (-0.135199 51.49107),Moo Cantina Pimlico,-0.135199,51.49107,restaurant
POINT (-0.1399743 51.4924729),About Thyme,-0.1399743,51.4924729,restaurant
POINT (-0.136883 51.4889995),Pimlico Tandoori,-0.136883,51.4889995,restaurant
POINT (-0.1664209 51.4983961),Caffè Concerto,-0.1664209,51.4983961,restaurant
POINT (-0.0635587 51.514916),Dilpasand,-0.0635587,51.514916,restaurant
POINT (-0.1694677 51.4833465),No. Fifty Cheyne,-0.1694677,51.4833465,restaurant
POINT (-0.1876332 51.511834),Bella Italia,-0.1876332,51.511834,restaurant
POINT (-0.1874213 51.5125046),garum,-0.1874213,51.5125046,restaurant
POINT (-0.1151021 51.5056639),PizzaExpress,-0.1151021,51.5056639,restaurant
POINT (-0.1167364 51.5052279),Honest Burgers,-0.1167364,51.5052279,restaurant
POINT (-0.1169556 51.5052961),Côte Brasserie,-0.1169556,51.5052961,restaurant
POINT (-0.117588 51.5058176),Strada,-0.117588,51.5058176,restaurant
POINT (0.0261464 51.5054491),So! Restaurant Bar,0.0261464,51.5054491,restaurant
POINT (-0.0824293 51.4961898),Sanh Hing,-0.0824293,51.4961898,restaurant
POINT (-0.0825176 51.4961463),Tower Tandoori,-0.0825176,51.4961463,restaurant
POINT (-0.0914796 51.5006223),Simply Indian,-0.0914796,51.5006223,restaurant
POINT (-0.2645088 51.4995651),Thai Thai Café,-0.2645088,51.4995651,restaurant
POINT (-0.117683 51.5057051),Wagamama,-0.117683,51.5057051,restaurant
POINT (-0.1562741 51.4383116),Bodean's,-0.1562741,51.4383116,restaurant
POINT (-0.1018834 51.520045),Vinoteca Farringdon,-0.1018834,51.520045,restaurant
POINT (-0.129607 51.4975224),The Cinnamon Club,-0.129607,51.4975224,restaurant
POINT (-0.1464791 51.5360507),York & Albany,-0.1464791,51.5360507,restaurant
POINT (-0.1420045 51.5367912),Yokoya,-0.1420045,51.5367912,restaurant
POINT (-0.1648246 51.5165605),Al Arez Express,-0.1648246,51.5165605,restaurant
POINT (-0.1413619 51.5112833),StreetXO,-0.1413619,51.5112833,restaurant
POINT (-0.2780734 51.4924822),Napa,-0.2780734,51.4924822,restaurant
POINT (-0.2675256 51.4935053),Cucina China Buffet,-0.2675256,51.4935053,restaurant
POINT (-0.0951602 51.5080583),The Real Greek,-0.0951602,51.5080583,restaurant
POINT (-0.096 51.5081984),PizzaExpress,-0.096,51.5081984,restaurant
POINT (-0.0801739 51.5053308),Tavolino,-0.0801739,51.5053308,restaurant
POINT (-0.0803967 51.5051331),Gaucho,-0.0803967,51.5051331,restaurant
POINT (-0.108242 51.5083936),Oxo Tower Restaurant,-0.108242,51.5083936,restaurant
POINT (-0.1670048 51.5239089),Rio's Piri Piri,-0.1670048,51.5239089,restaurant
POINT (-0.1575888 51.5218536),PizzaExpress,-0.1575888,51.5218536,restaurant
POINT (-0.1038389 51.5361636),Franco Manca,-0.1038389,51.5361636,restaurant
POINT (-0.1039142 51.5359926),Wahaca,-0.1039142,51.5359926,restaurant
POINT (-0.1037374 51.5365176),Sessions,-0.1037374,51.5365176,restaurant
POINT (-0.1025179 51.5385359),Isarn,-0.1025179,51.5385359,restaurant
POINT (-0.1026162 51.539491),Terra Rossa,-0.1026162,51.539491,restaurant
POINT (-0.1026778 51.5397161),Le Mercury,-0.1026778,51.5397161,restaurant
POINT (-0.1026842 51.53978),La Porchetta,-0.1026842,51.53978,restaurant
POINT (-0.1039686 51.5351424),Street Burger,-0.1039686,51.5351424,restaurant
POINT (-0.1041977 51.5348703),Thai Square,-0.1041977,51.5348703,restaurant
POINT (-0.1037375 51.535348),PizzaExpress,-0.1037375,51.535348,restaurant
POINT (-0.1026836 51.5365453),Bellanger,-0.1026836,51.5365453,restaurant
POINT (-0.1029125 51.5370798),Nando's,-0.1029125,51.5370798,restaurant
POINT (-0.1022755 51.5379933),Carluccio's,-0.1022755,51.5379933,restaurant
POINT (-0.1021021 51.5389621),Hong Kong Restaurant,-0.1021021,51.5389621,restaurant
POINT (-0.1763505 51.492946),Al Dente,-0.1763505,51.492946,restaurant
POINT (-0.1760492 51.4931045),Gỗ,-0.1760492,51.4931045,restaurant
POINT (-0.175681 51.4937726),Papa Roma,-0.175681,51.4937726,restaurant
POINT (-0.1757732 51.4935463),Pravaas,-0.1757732,51.4935463,restaurant
POINT (-0.1764889 51.4931264),Wright Brothers,-0.1764889,51.4931264,restaurant
POINT (-0.1766099 51.4930693),Bella Italia,-0.1766099,51.4930693,restaurant
POINT (-0.1452722 51.5402228),Wagamama,-0.1452722,51.5402228,restaurant
POINT (-0.0251819 51.4078361),La Rascasse,-0.0251819,51.4078361,restaurant
POINT (-0.0315118 51.406701),Risto,-0.0315118,51.406701,restaurant
POINT (-0.3395744 51.5703064),Coffee 2 Cocktails Restaurant,-0.3395744,51.5703064,restaurant
POINT (-0.1648778 51.4959354),Scalini,-0.1648778,51.4959354,restaurant
POINT (-0.1083961 51.5025403),Franco Manca,-0.1083961,51.5025403,restaurant
POINT (-0.1329449 51.4634939),Nando's,-0.1329449,51.4634939,restaurant
POINT (-0.1062903 51.5478134),Buna Restaurant,-0.1062903,51.5478134,restaurant
POINT (-0.106562 51.534313),Wagamama,-0.106562,51.534313,restaurant
POINT (-0.1058677 51.5340057),Jones & Sons,-0.1058677,51.5340057,restaurant
POINT (-0.0405328 51.3989089),Lugana,-0.0405328,51.3989089,restaurant
POINT (-0.041254 51.3989174),Fethr Lounge,-0.041254,51.3989174,restaurant
POINT (-0.1515258 51.4897406),Rousillon,-0.1515258,51.4897406,restaurant
POINT (-0.1212446 51.5206484),Namaste Holborn,-0.1212446,51.5206484,restaurant
POINT (-0.26436 51.4963152),Le Vacherin,-0.26436,51.4963152,restaurant
POINT (-0.1747593 51.6305239),Izgara,-0.1747593,51.6305239,restaurant
POINT (-0.1230089 51.520761),The Shell,-0.1230089,51.520761,restaurant
POINT (-0.1227098 51.5205849),,-0.1227098,51.5205849,restaurant
POINT (-0.130632 51.4967352),Má Là,-0.130632,51.4967352,restaurant
POINT (0.0080113 51.5549347),WF Catering at Jenny Hammond Primary School,0.0080113,51.5549347,restaurant
POINT (-0.1390316 51.5129035),Pastaio,-0.1390316,51.5129035,restaurant
POINT (-0.2406865 51.4933414),Saigon Saigon,-0.2406865,51.4933414,restaurant
POINT (-0.2430575 51.493575),Tosa,-0.2430575,51.493575,restaurant
POINT (-0.2383387 51.4997397),Fait Maison,-0.2383387,51.4997397,restaurant
POINT (-0.1409348 51.4940378),Morinoya,-0.1409348,51.4940378,restaurant
POINT (-0.1525987 51.4909877),La Poule au Pot,-0.1525987,51.4909877,restaurant
POINT (-0.1325118 51.5195455),Busaba,-0.1325118,51.5195455,restaurant
POINT (-0.3153764 51.3468532),Beefeater,-0.3153764,51.3468532,restaurant
POINT (-0.1153178 51.518344),Bung Hole Cellars,-0.1153178,51.518344,restaurant
POINT (-0.1323749 51.4902186),Milbank Spice,-0.1323749,51.4902186,restaurant
POINT (-0.338227 51.5721163),Old Etonian,-0.338227,51.5721163,restaurant
POINT (-0.3383075 51.572065),Ristorante LA COLLINA,-0.3383075,51.572065,restaurant
POINT (-0.3394021 51.5706904),The Connoisseur,-0.3394021,51.5706904,restaurant
POINT (-0.3394743 51.5705895),Incanto,-0.3394743,51.5705895,restaurant
POINT (-0.0931799 51.4843567),"Quality Pie, Mash & Eels",-0.0931799,51.4843567,restaurant
POINT (-0.093956 51.483678),K & F Restaurant,-0.093956,51.483678,restaurant
POINT (-0.0840084 51.5257393),Wahaca,-0.0840084,51.5257393,restaurant
POINT (-0.1256466 51.6272874),Cataleya Resto & Lounge,-0.1256466,51.6272874,restaurant
POINT (-0.103591 51.5376283),Le Sacré Coeur,-0.103591,51.5376283,restaurant
POINT (-0.1050165 51.5354621),ASK Italian,-0.1050165,51.5354621,restaurant
POINT (-0.1068254 51.5362614),Vigata,-0.1068254,51.5362614,restaurant
POINT (-0.1030744 51.5376299),Kilis,-0.1030744,51.5376299,restaurant
POINT (-0.1031478 51.5376312),Rosa's Thai Cafe,-0.1031478,51.5376312,restaurant
POINT (-0.1032571 51.5376287),Mem & Laz,-0.1032571,51.5376287,restaurant
POINT (-0.1029448 51.5376616),Gallipoli Bistro,-0.1029448,51.5376616,restaurant
POINT (-0.1028456 51.5391936),Antonio's,-0.1028456,51.5391936,restaurant
POINT (0.0505393 51.5423552),Saravanaa Bhavan,0.0505393,51.5423552,restaurant
POINT (-0.103042 51.5412618),Pera,-0.103042,51.5412618,restaurant
POINT (-0.1031021 51.5415596),VQ,-0.1031021,51.5415596,restaurant
POINT (-0.1031181 51.5416152),The Blue Legume,-0.1031181,51.5416152,restaurant
POINT (-0.1032134 51.542405),Santa Maria,-0.1032134,51.542405,restaurant
POINT (-0.1028704 51.5428465),Gem,-0.1028704,51.5428465,restaurant
POINT (-0.104055 51.54651),La Pasta,-0.104055,51.54651,restaurant
POINT (-0.10382 51.546677),Trevi,-0.10382,51.546677,restaurant
POINT (0.0494918 51.5441568),,0.0494918,51.5441568,restaurant
POINT (0.0492343 51.5450375),,0.0492343,51.5450375,restaurant
POINT (-0.125102 51.5281039),NONÓS,-0.125102,51.5281039,restaurant
POINT (-0.1273566 51.5283992),PizzaExpress,-0.1273566,51.5283992,restaurant
POINT (-0.1131598 51.5434687),Loman Cafe Bistro,-0.1131598,51.5434687,restaurant
POINT (-0.1433914 51.5693661),Lauderdale House Restaurant,-0.1433914,51.5693661,restaurant
POINT (-0.1174491 51.5420814),Tasty Spice,-0.1174491,51.5420814,restaurant
POINT (-0.1174507 51.5421274),Best Taste,-0.1174507,51.5421274,restaurant
POINT (-0.1175004 51.5424207),Didar,-0.1175004,51.5424207,restaurant
POINT (-0.115721 51.5466884),Kokeb,-0.115721,51.5466884,restaurant
POINT (-0.1496829 51.4701876),Santa Maria del Sur,-0.1496829,51.4701876,restaurant
POINT (0.0509186 51.5393844),,0.0509186,51.5393844,restaurant
POINT (-0.1389599 51.5227666),Indian YMCA,-0.1389599,51.5227666,restaurant
POINT (0.0512763 51.5381578),Chennai Dosa,0.0512763,51.5381578,restaurant
POINT (-0.0837544 51.5290103),Schnitzel Heaven,-0.0837544,51.5290103,restaurant
POINT (-0.1111751 51.5324533),Basilico,-0.1111751,51.5324533,restaurant
POINT (-0.1042757 51.5343313),Frederick's,-0.1042757,51.5343313,restaurant
POINT (-0.1014736 51.5367673),The Diner,-0.1014736,51.5367673,restaurant
POINT (-0.1104328 51.5539104),Mega Bite Cafe,-0.1104328,51.5539104,restaurant
POINT (-0.1093681 51.5195377),Mugen,-0.1093681,51.5195377,restaurant
POINT (-0.1199798 51.5177803),Samurai,-0.1199798,51.5177803,restaurant
POINT (-0.1192595 51.516238),Sushi Hiroba,-0.1192595,51.516238,restaurant
POINT (-0.1351842 51.5136681),Yauatcha,-0.1351842,51.5136681,restaurant
POINT (-0.0848633 51.5055547),Vivat Bacchus,-0.0848633,51.5055547,restaurant
POINT (-0.1005934 51.5463754),Firezza,-0.1005934,51.5463754,restaurant
POINT (-0.1012753 51.5462567),Prawn on the Lawn,-0.1012753,51.5462567,restaurant
POINT (-0.1757345 51.4626337),Jam-1,-0.1757345,51.4626337,restaurant
POINT (-0.1385979 51.49366),Gustoso,-0.1385979,51.49366,restaurant
POINT (-0.1407675 51.497441),Zizzi,-0.1407675,51.497441,restaurant
POINT (-0.1402214 51.4976354),Nando's,-0.1402214,51.4976354,restaurant
POINT (-0.1101431 51.5659382),Osteria Tufo,-0.1101431,51.5659382,restaurant
POINT (-0.1036721 51.5649814),Stoplight,-0.1036721,51.5649814,restaurant
POINT (-0.1681089 51.4792983),Source,-0.1681089,51.4792983,restaurant
POINT (-0.17064 51.478862),PizzaExpress,-0.17064,51.478862,restaurant
POINT (-0.0979813 51.5542179),Donna Sofia,-0.0979813,51.5542179,restaurant
POINT (-0.1027841 51.5402302),Fig & Olive,-0.1027841,51.5402302,restaurant
POINT (-0.1027567 51.540105),SKÅL,-0.1027567,51.540105,restaurant
POINT (-0.1026872 51.5398416),Rabieng Thai,-0.1026872,51.5398416,restaurant
POINT (-0.1299579 51.5074016),Thai Square,-0.1299579,51.5074016,restaurant
POINT (-0.126123 51.508406),PizzaExpress,-0.126123,51.508406,restaurant
POINT (-0.1063884 51.5478856),Tbilisi,-0.1063884,51.5478856,restaurant
POINT (-0.1023191 51.5400827),Nem Nem,-0.1023191,51.5400827,restaurant
POINT (-0.1022794 51.5399024),La Petite Auberge,-0.1022794,51.5399024,restaurant
POINT (-0.1029861 51.5376235),La Farola,-0.1029861,51.5376235,restaurant
POINT (-0.1028048 51.537884),1251,-0.1028048,51.537884,restaurant
POINT (-0.1025086 51.5385698),Café Gallipoli Again,-0.1025086,51.5385698,restaurant
POINT (-0.1060278 51.5335893),,-0.1060278,51.5335893,restaurant
POINT (-0.1039344 51.5359355),Desperados,-0.1039344,51.5359355,restaurant
POINT (-0.1049273 51.534842),Pho,-0.1049273,51.534842,restaurant
POINT (-0.1294685 51.5108246),Pizza Hut,-0.1294685,51.5108246,restaurant
POINT (-0.1329228 51.5100549),Angus Steakhouse,-0.1329228,51.5100549,restaurant
POINT (-0.1324716 51.5101296),HAPPY,-0.1324716,51.5101296,restaurant
POINT (-0.1207484 51.5120973),Byron Burgers,-0.1207484,51.5120973,restaurant
POINT (-0.1029829 51.5369612),Zen Mondo,-0.1029829,51.5369612,restaurant
POINT (-0.1012364 51.5391673),zaffrani,-0.1012364,51.5391673,restaurant
POINT (-0.1081436 51.5491954),Roma,-0.1081436,51.5491954,restaurant
POINT (-0.1756395 51.4205708),Fish Inn,-0.1756395,51.4205708,restaurant
POINT (-0.1045325 51.5467447),Nón,-0.1045325,51.5467447,restaurant
POINT (-0.1085513 51.5495339),Berto,-0.1085513,51.5495339,restaurant
POINT (-0.1087655 51.549711),Emperor,-0.1087655,51.549711,restaurant
POINT (-0.1088196 51.5497537),Lamezia,-0.1088196,51.5497537,restaurant
POINT (-0.1089235 51.5498429),Sambal to go,-0.1089235,51.5498429,restaurant
POINT (-0.1089817 51.5498868),Sambal Shiok Laksa Bar,-0.1089817,51.5498868,restaurant
POINT (-0.1406901 51.5263992),La Fenice,-0.1406901,51.5263992,restaurant
POINT (-0.1361415 51.5189362),Da Paolo,-0.1361415,51.5189362,restaurant
POINT (-0.0816372 51.5278419),8 Hoxton Square,-0.0816372,51.5278419,restaurant
POINT (-0.0810456 51.5272599),Cottons,-0.0810456,51.5272599,restaurant
POINT (-0.1701594 51.4783358),Battersea Grill,-0.1701594,51.4783358,restaurant
POINT (-0.169614 51.4782369),Mansoon,-0.169614,51.4782369,restaurant
POINT (-0.0739522 51.5655495),Sweet Lemon,-0.0739522,51.5655495,restaurant
POINT (-0.0730535 51.56318),Itto,-0.0730535,51.56318,restaurant
POINT (-0.0732736 51.5628273),Wander,-0.0732736,51.5628273,restaurant
POINT (-0.0733812 51.5622719),19 Numara Bos Cirrik II,-0.0733812,51.5622719,restaurant
POINT (-0.0735261 51.5616499),Franco Manca,-0.0735261,51.5616499,restaurant
POINT (-0.1069321 51.5391032),Viet Garden,-0.1069321,51.5391032,restaurant
POINT (-0.0739318 51.5594639),The Fishery Fish Bar,-0.0739318,51.5594639,restaurant
POINT (-0.0741243 51.5581648),Testi,-0.0741243,51.5581648,restaurant
POINT (-0.0741699 51.5577212),Victory Mansion,-0.0741699,51.5577212,restaurant
POINT (-0.1323115 51.5871923),Kiss the Koala,-0.1323115,51.5871923,restaurant
POINT (-0.334324 51.4271329),PizzaExpress,-0.334324,51.4271329,restaurant
POINT (-0.1647066 51.5198229),Dinings,-0.1647066,51.5198229,restaurant
POINT (-0.070261 51.528927),Brawn,-0.070261,51.528927,restaurant
POINT (-0.3391354 51.4391927),Tandoori & Balti Palace,-0.3391354,51.4391927,restaurant
POINT (-0.1303581 51.5123678),New World,-0.1303581,51.5123678,restaurant
POINT (-0.0763418 51.562252),Rasa Street,-0.0763418,51.562252,restaurant
POINT (-0.0758697 51.5620821),Royal India,-0.0758697,51.5620821,restaurant
POINT (-0.0744908 51.5619397),Fuji,-0.0744908,51.5619397,restaurant
POINT (-0.1502324 51.4440935),Meze Kitchen,-0.1502324,51.4440935,restaurant
POINT (-0.0741731 51.5239594),Dirty Bones,-0.0741731,51.5239594,restaurant
POINT (-0.1964918 51.5991604),The Two Brothers,-0.1964918,51.5991604,restaurant
POINT (-0.1325109 51.4745149),Nile Restaurant,-0.1325109,51.4745149,restaurant
POINT (-0.1381623 51.4708688),Orit Ethiopian Restaurant & Bar,-0.1381623,51.4708688,restaurant
POINT (-0.0250963 51.4080493),Branded,-0.0250963,51.4080493,restaurant
POINT (-0.0254291 51.4081653),Pierluigi's,-0.0254291,51.4081653,restaurant
POINT (-0.1337974 51.5141462),Refuel,-0.1337974,51.5141462,restaurant
POINT (-0.1359571 51.5163212),Nando's,-0.1359571,51.5163212,restaurant
POINT (-0.1360022 51.5163911),Enish,-0.1360022,51.5163911,restaurant
POINT (-0.0983024 51.5578989),Mihan,-0.0983024,51.5578989,restaurant
POINT (-0.097922 51.557254),Au lac,-0.097922,51.557254,restaurant
POINT (-0.1678004 51.4438433),Brinkley's Kitchen,-0.1678004,51.4438433,restaurant
POINT (-0.1656656 51.4460277),Chez Bruce,-0.1656656,51.4460277,restaurant
POINT (-0.1457831 51.49457),Prezzo,-0.1457831,51.49457,restaurant
